family,margin,n_unsafe,n_fs,fs_among_unsafe,ci_lo,ci_hi
rc_wall(MDOF-sanity),0.0,5683,987,0.17367587541791307,0.16390803976940724,0.1837799356050171
rc_wall(MDOF-sanity),0.5,5683,25,0.004399084990322013,0.002848818024782039,0.00648711308986305
rc_wall(MDOF-sanity),0.75,5683,0,0.0,0.0,0.0006488971446349894
rcf_tall(OpenSees),0.0,2006,346,0.17248255234297108,0.15618849437420135,0.1897397663312159
rcf_tall(OpenSees),0.5,2006,51,0.025423728813559324,0.018986876238225488,0.033293269981331225
rcf_tall(OpenSees),0.75,2006,8,0.003988035892323031,0.0017232751538440306,0.00784282108318072
steel_frame(OpenSees),0.0,605,184,0.30413223140495865,0.2676805838665734,0.34250866359617893
steel_frame(OpenSees),0.5,605,121,0.2,0.16882875900966385,0.2341317852340218
steel_frame(OpenSees),0.75,605,97,0.16033057851239668,0.13198360445900265,0.19203927678379779
