"family","engine","k","tau","margin","n","n_unsafe","n_accepted","n_false_safe","coverage","fs_among_unsafe","fs_among_accepted"
"rcf_tall","opensees_hifi","200","0.025","0.25","4800","1688","2604","195","0.5425","0.11552132701421801","0.0748847926267281"
"rcf_tall","opensees_hifi","200","0.025","0.5","4800","1688","1917","61","0.399375","0.03613744075829384","0.03182055294731351"
"rcf_tall","opensees_hifi","200","0.025","0.75","4800","1688","1018","12","0.21208333333333335","0.0071090047393364926","0.011787819253438114"
"steel_frame","opensees_hifi","200","0.015","0.0","3266","750","2624","240","0.8034292712798531","0.32","0.09146341463414634"
"steel_frame","opensees_hifi","200","0.015","0.25","3266","750","2457","184","0.7522963870177587","0.24533333333333332","0.07488807488807489"
"steel_frame","opensees_hifi","200","0.015","0.5","3266","750","2001","143","0.6126760563380281","0.19066666666666668","0.07146426786606697"
"steel_frame","opensees_hifi","200","0.015","0.75","3266","750","1168","117","0.35762400489895896","0.156","0.10017123287671233"
"steel_frame","opensees_hifi","200","0.02","0.0","3266","605","2741","184","0.8392529087568892","0.30413223140495865","0.06712878511492155"
"steel_frame","opensees_hifi","200","0.02","0.25","3266","605","2624","154","0.8034292712798531","0.2545454545454545","0.0586890243902439"
"steel_frame","opensees_hifi","200","0.02","0.5","3266","605","2360","121","0.7225964482547459","0.2","0.05127118644067796"
"steel_frame","opensees_hifi","200","0.02","0.75","3266","605","1444","97","0.4421310471524801","0.16033057851239668","0.06717451523545706"
"steel_frame","opensees_hifi","200","0.025","0.0","3266","527","2811","171","0.8606858542559707","0.32447817836812143","0.060832443970117396"
"steel_frame","opensees_hifi","200","0.025","0.25","3266","527","2722","138","0.833435394978567","0.2618595825426945","0.050698016164584865"
"steel_frame","opensees_hifi","200","0.025","0.5","3266","527","2520","108","0.771586037966932","0.2049335863377609","0.04285714285714286"
"steel_frame","opensees_hifi","200","0.025","0.75","3266","527","1765","93","0.5404164115125536","0.17647058823529413","0.052691218130311614"
