"family","engine","k","tau","margin","n","n_unsafe","n_accepted","n_false_safe","coverage","fs_among_unsafe","fs_among_accepted"
"rc_wall","simplified_MDOF_synthetic","200","0.015","0.0","20956","8270","12223","1052","0.5832697079595343","0.1272067714631197","0.08606725026589217"
"rc_wall","simplified_MDOF_synthetic","200","0.015","0.25","20956","8270","9854","281","0.47022332506203474","0.0339782345828295","0.028516338542723767"
"rc_wall","simplified_MDOF_synthetic","200","0.015","0.5","20956","8270","6795","23","0.32425081122351596","0.002781136638452237","0.003384841795437822"
"rc_wall","simplified_MDOF_synthetic","200","0.015","0.75","20956","8270","2606","0","0.12435579309028441","0.0","0.0"
"rc_wall","simplified_MDOF_synthetic","200","0.02","0.0","20956","5683","14740","987","0.7033785073487306","0.17367587541791307","0.06696065128900949"
"rc_wall","simplified_MDOF_synthetic","200","0.02","0.25","20956","5683","12223","275","0.5832697079595343","0.048389934893542146","0.022498568272928086"
"rc_wall","simplified_MDOF_synthetic","200","0.02","0.5","20956","5683","8932","25","0.42622637907997707","0.004399084990322013","0.0027989252127183163"
"rc_wall","simplified_MDOF_synthetic","200","0.02","0.75","20956","5683","4155","0","0.1982725711013552","0.0","0.0"
"rc_wall","simplified_MDOF_synthetic","200","0.025","0.0","20956","3989","16613","887","0.7927562511929758","0.22236149410879918","0.05339192198880395"
"rc_wall","simplified_MDOF_synthetic","200","0.025","0.25","20956","3989","14180","267","0.6766558503531208","0.06693406868889445","0.018829337094499295"
"rc_wall","simplified_MDOF_synthetic","200","0.025","0.5","20956","3989","10688","28","0.5100209963733537","0.007019303083479569","0.002619760479041916"
"rc_wall","simplified_MDOF_synthetic","200","0.025","0.75","20956","3989","5503","0","0.2625978240122161","0.0","0.0"
"rc_wall","simplified_MDOF_synthetic","5","0.015","0.0","20956","8270","13600","1886","0.6489788127505249","0.22805320435308343","0.1386764705882353"
"rc_wall","simplified_MDOF_synthetic","5","0.015","0.25","20956","8270","10622","541","0.5068715403702997","0.06541717049576784","0.05093202786669177"
"rc_wall","simplified_MDOF_synthetic","5","0.015","0.5","20956","8270","6889","33","0.32873640007635047","0.003990326481257557","0.004790245318623893"
"rc_wall","simplified_MDOF_synthetic","5","0.015","0.75","20956","8270","1914","0","0.09133422408856652","0.0","0.0"
"rc_wall","simplified_MDOF_synthetic","5","0.02","0.0","20956","5683","16445","1889","0.7847394540942928","0.3323948618687313","0.11486774095469747"
"rc_wall","simplified_MDOF_synthetic","5","0.02","0.25","20956","5683","13600","649","0.6489788127505249","0.11420024634875946","0.04772058823529412"
"rc_wall","simplified_MDOF_synthetic","5","0.02","0.5","20956","5683","9424","50","0.44970414201183434","0.008798169980644026","0.005305602716468591"
"rc_wall","simplified_MDOF_synthetic","5","0.02","0.75","20956","5683","3721","0","0.17756251192975758","0.0","0.0"
"rc_wall","simplified_MDOF_synthetic","5","0.025","0.0","20956","3989","18218","1758","0.8693452949036076","0.4407119578841815","0.0964979690416072"
"rc_wall","simplified_MDOF_synthetic","5","0.025","0.25","20956","3989","15839","663","0.755821721702615","0.16620706944096264","0.041858703200959656"
"rc_wall","simplified_MDOF_synthetic","5","0.025","0.5","20956","3989","11732","45","0.5598396640580263","0.011281022812735022","0.0038356631435390387"
"rc_wall","simplified_MDOF_synthetic","5","0.025","0.75","20956","3989","5431","0","0.25916205382706625","0.0","0.0"
"rcf_tall","opensees_hifi","200","0.015","0.0","4800","2471","2199","266","0.458125","0.10764872521246459","0.12096407457935425"
"rcf_tall","opensees_hifi","200","0.015","0.25","4800","2471","1774","120","0.3695833333333333","0.04856333468231485","0.06764374295377677"
"rcf_tall","opensees_hifi","200","0.015","0.5","4800","2471","1223","31","0.2547916666666667","0.01254552812626467","0.025347506132461162"
"rcf_tall","opensees_hifi","200","0.015","0.75","4800","2471","428","4","0.08916666666666667","0.0016187778227438284","0.009345794392523364"
"rcf_tall","opensees_hifi","200","0.02","0.0","4800","2006","2697","346","0.561875","0.17248255234297108","0.12829069336299592"
"rcf_tall","opensees_hifi","200","0.02","0.25","4800","2006","2199","144","0.458125","0.07178464606181456","0.06548431105047749"
"rcf_tall","opensees_hifi","200","0.02","0.5","4800","2006","1615","51","0.33645833333333336","0.025423728813559324","0.031578947368421054"
"rcf_tall","opensees_hifi","200","0.02","0.75","4800","2006","736","8","0.15333333333333332","0.003988035892323031","0.010869565217391304"
"rcf_tall","opensees_hifi","200","0.025","0.0","4800","1688","3011","363","0.6272916666666667","0.21504739336492892","0.12055795416805049"
