family,surrogate,engine,margin,n_unsafe,n_fs,fs_among_unsafe,ci_lo,ci_hi,coverage
rc_wall,REP,opensees_calib720,0.0,15,5,0.3333333333333333,0.11824110336688094,0.6161962674588458,0.65
rc_wall,REP,opensees_calib720,0.25,15,1,0.06666666666666667,0.0016864302413527015,0.3194845665783034,0.525
rc_wall,REP,opensees_calib720,0.5,15,0,0.0,0.0,0.21801936091053403,0.375
rc_wall,REP,opensees_calib720,0.75,15,0,0.0,0.0,0.21801936091053403,0.075
rcf_tall,REP,opensees_calib720,0.0,18,1,0.05555555555555555,0.0014055561673694222,0.27294359967336845,0.45
rcf_tall,REP,opensees_calib720,0.25,18,0,0.0,0.0,0.1853019681378522,0.375
rcf_tall,REP,opensees_calib720,0.5,18,0,0.0,0.0,0.1853019681378522,0.3
rcf_tall,REP,opensees_calib720,0.75,18,0,0.0,0.0,0.1853019681378522,0.225
steel_braced,REP,opensees_calib720,0.0,14,6,0.42857142857142855,0.17661108998211794,0.7113905999616925,0.725
steel_braced,REP,opensees_calib720,0.25,14,3,0.21428571428571427,0.04657928788986728,0.5079756770484718,0.6
steel_braced,REP,opensees_calib720,0.5,14,1,0.07142857142857142,0.0018067806591253865,0.3386844899318212,0.475
steel_braced,REP,opensees_calib720,0.75,14,0,0.0,0.0,0.23163576165011646,0.2
steel_frame,REP,opensees_calib720,0.0,23,5,0.21739130434782608,0.07460340764880372,0.43703072623681466,0.425
steel_frame,REP,opensees_calib720,0.25,23,3,0.13043478260869565,0.02775150742279319,0.3358891375371209,0.325
steel_frame,REP,opensees_calib720,0.5,23,1,0.043478260869565216,0.0011001686304414997,0.2194866074534804,0.25
steel_frame,REP,opensees_calib720,0.75,23,0,0.0,0.0,0.14818512891522437,0.075
