pga_band,n,n_unsafe,median_pga,fs_among_unsafe,coverage,n_false_safe
overlap_with_FEMA_<=0.5g,969,15,0.2771497964859009,0.4,0.8379772961816305,6
0.5-0.8g,420,102,0.6460453867912292,0.20588235294117646,0.65,21
0.8-1.1g,636,213,0.9437147378921508,0.3755868544600939,0.6650943396226415,80
>1.1g,1650,870,1.7165290117263794,0.11839080459770115,0.3787878787878788,103
