pga_tercile,n,n_unsafe,n_accepted,n_false_safe,fs_among_unsafe,coverage,median_pga
low,1239.0,111.0,935.0,21.0,0.1891891891891892,0.7546408393866021,0.3429824113845825
mid,1236.0,372.0,817.0,111.0,0.29838709677419356,0.6610032362459547,1.0037185549736023
high,1200.0,717.0,381.0,78.0,0.1087866108786611,0.3175,1.873470962047577
