family,REP_n_unsafe,REP_raw,classical_n_unsafe,classical_raw
rc_wall,40,"0.450 [0.293,0.615]",40,"0.050 [0.006,0.169]"
rcf_tall,44,"0.091 [0.025,0.217]",44,"0.227 [0.115,0.378]"
steel_frame,66,"0.242 [0.145,0.364]",66,"0.318 [0.209,0.444]"
steel_braced,46,"0.261 [0.143,0.411]",46,"0.174 [0.078,0.314]"
