distribution,n,mean_pga_g,sd_pga_g,median_pga_g,q25_pga_g,q75_pga_g,min_pga_g,max_pga_g,provenance,comparable_scale
local_P695_scaled_analysis_all_sets,720,0.44092657303240734,0.3496174081240206,0.3555606249999999,0.1791394875,0.5671718,0.02998,2.1343475,packaged derived response-analysis PGA values from the local P-695 source analyses,scaled analysis input PGA
local_P695_scaled_analysis_farfield_only,308,0.3683482543831169,0.2857620087888691,0.30236474999999996,0.1532095375,0.5100082499999999,0.02998,1.644858,packaged derived response-analysis PGA values from the local P-695 farfield sensitivity subset,scaled analysis input PGA
ESM_scaled_holdout_analysis,100,1.155082003995776,0.7784526331146239,1.0037185549736023,0.48104758560657496,1.7165290117263794,0.0714531391859054,3.07432222366333,packaged derived response-analysis PGA values from the scaled ESM holdout analyses,scaled analysis input PGA
ESM_raw_record_package,48,0.6626867012431225,0.1731122071428335,0.6460497081279755,0.5352554768323898,0.7704558372497559,0.293127566576004,1.0247740745544434,packaged derived PGA metadata for the selected ESM record package before response-analysis scaling,raw record PGA
