distribution,pga_g,comparable_scale
local_P695_scaled_analysis_all_sets,0.118893915,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.2779333,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.52976265,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.6278226,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.030305600000000002,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.43889875,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.604242,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.2513745,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.3047586166666664,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.3637905,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.5127456,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,1.06717375,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.6479742500000001,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.7115279999999999,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.15662505,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,1.156699,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.443293,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.11861196000000002,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.7317422499999999,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.0900893,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.26620875,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,1.4458737499999998,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.89948745,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.44110875,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.1024038,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.26558,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.254772675,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.171755,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.922218,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.853739,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.951445875,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.178938,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.1024038,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.1756645,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.74132475,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.4417138,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.7685150000000001,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.297176925,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.6332328,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.515265,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.95182725,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.0715752,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.592230975,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.8375533499999999,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.443293,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.4268695,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.08381894000000001,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.17347224999999944,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.604242,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.822429,scaled analysis input PGA
local_P695_scaled_analysis_all_sets,0.43904535,scaled analysis input PGA
