source,k,tau,margin,n_rows,unsafe_n,accepted_n,accepted_safe_n,false_safe_n,false_safe_rate_given_unsafe,false_safe_rate_among_accepted,accepted_coverage,accepted_safe_coverage
retained_rc_wall,5,0.015,0.0,20956,8270,13600,11714,1886,0.22805320435308343,0.1386764705882353,0.6489788127505249,0.5589807215117388
retained_rc_wall,5,0.015,0.25,20956,8270,10622,10081,541,0.06541717049576784,0.05093202786669177,0.5068715403702997,0.4810555449513266
retained_rc_wall,5,0.015,0.5,20956,8270,6889,6856,33,0.003990326481257557,0.004790245318623893,0.32873640007635047,0.32716167207482344
retained_rc_wall,5,0.015,0.75,20956,8270,1914,1914,0,0.0,0.0,0.09133422408856652,0.09133422408856652
retained_rc_wall,5,0.02,0.0,20956,5683,16445,14556,1889,0.3323948618687313,0.11486774095469747,0.7847394540942928,0.6945982057644589
retained_rc_wall,5,0.02,0.25,20956,5683,13600,12951,649,0.11420024634875946,0.04772058823529412,0.6489788127505249,0.618009162053827
retained_rc_wall,5,0.02,0.5,20956,5683,9424,9374,50,0.008798169980644026,0.005305602716468591,0.44970414201183434,0.44731819049436916
retained_rc_wall,5,0.02,0.75,20956,5683,3721,3721,0,0.0,0.0,0.17756251192975758,0.17756251192975758
retained_rc_wall,5,0.025,0.0,20956,3989,18218,16460,1758,0.4407119578841815,0.0964979690416072,0.8693452949036076,0.7854552395495323
retained_rc_wall,5,0.025,0.25,20956,3989,15839,15176,663,0.16620706944096264,0.041858703200959656,0.755821721702615,0.7241840045810269
retained_rc_wall,5,0.025,0.5,20956,3989,11732,11687,45,0.011281022812735022,0.0038356631435390387,0.5598396640580263,0.5576923076923077
retained_rc_wall,5,0.025,0.75,20956,3989,5431,5431,0,0.0,0.0,0.25916205382706625,0.25916205382706625
retained_rc_wall,200,0.015,0.0,20956,8270,12223,11171,1052,0.1272067714631197,0.08606725026589217,0.5832697079595343,0.5330692880320672
retained_rc_wall,200,0.015,0.25,20956,8270,9854,9573,281,0.0339782345828295,0.028516338542723767,0.47022332506203474,0.4568142775338805
retained_rc_wall,200,0.015,0.5,20956,8270,6795,6772,23,0.002781136638452237,0.003384841795437822,0.32425081122351596,0.32315327352548195
retained_rc_wall,200,0.015,0.75,20956,8270,2606,2606,0,0.0,0.0,0.12435579309028441,0.12435579309028441
retained_rc_wall,200,0.02,0.0,20956,5683,14740,13753,987,0.17367587541791307,0.06696065128900949,0.7033785073487306,0.6562798243939684
retained_rc_wall,200,0.02,0.25,20956,5683,12223,11948,275,0.048389934893542146,0.022498568272928086,0.5832697079595343,0.5701469746134759
retained_rc_wall,200,0.02,0.5,20956,5683,8932,8907,25,0.004399084990322013,0.0027989252127183163,0.42622637907997707,0.4250334033212445
retained_rc_wall,200,0.02,0.75,20956,5683,4155,4155,0,0.0,0.0,0.1982725711013552,0.1982725711013552
retained_rc_wall,200,0.025,0.0,20956,3989,16613,15726,887,0.22236149410879918,0.05339192198880395,0.7927562511929758,0.7504294712731437
retained_rc_wall,200,0.025,0.25,20956,3989,14180,13913,267,0.06693406868889445,0.018829337094499295,0.6766558503531208,0.6639148692498569
retained_rc_wall,200,0.025,0.5,20956,3989,10688,10660,28,0.007019303083479569,0.002619760479041916,0.5100209963733537,0.5086848635235732
retained_rc_wall,200,0.025,0.75,20956,3989,5503,5503,0,0.0,0.0,0.2625978240122161,0.2625978240122161
esm_tall_rc_source_shift,200,0.015,0.0,3675,1464,1725,1589,136,0.09289617486338798,0.07884057971014492,0.46938775510204084,0.43238095238095237
esm_tall_rc_source_shift,200,0.015,0.25,3675,1464,1372,1324,48,0.03278688524590164,0.03498542274052478,0.37333333333333335,0.36027210884353744
esm_tall_rc_source_shift,200,0.015,0.5,3675,1464,959,951,8,0.00546448087431694,0.008342022940563087,0.26095238095238094,0.2587755102040816
esm_tall_rc_source_shift,200,0.015,0.75,3675,1464,471,470,1,0.0006830601092896175,0.0021231422505307855,0.12816326530612246,0.12789115646258503
esm_tall_rc_source_shift,200,0.02,0.0,3675,1200,2133,1923,210,0.175,0.09845288326300984,0.5804081632653061,0.5232653061224489
esm_tall_rc_source_shift,200,0.02,0.25,3675,1200,1725,1628,97,0.08083333333333333,0.05623188405797101,0.46938775510204084,0.44299319727891157
esm_tall_rc_source_shift,200,0.02,0.5,3675,1200,1247,1222,25,0.020833333333333332,0.020048115477145148,0.33931972789115644,0.3325170068027211
esm_tall_rc_source_shift,200,0.02,0.75,3675,1200,670,670,0,0.0,0.0,0.18231292517006803,0.18231292517006803
esm_tall_rc_source_shift,200,0.025,0.0,3675,990,2508,2269,239,0.24141414141414141,0.09529505582137161,0.6824489795918367,0.6174149659863946
esm_tall_rc_source_shift,200,0.025,0.25,3675,990,2031,1895,136,0.13737373737373737,0.06696208764155588,0.5526530612244898,0.5156462585034014
esm_tall_rc_source_shift,200,0.025,0.5,3675,990,1493,1449,44,0.044444444444444446,0.029470864032150032,0.40625850340136055,0.3942857142857143
esm_tall_rc_source_shift,200,0.025,0.75,3675,990,833,831,2,0.00202020202020202,0.0024009603841536613,0.22666666666666666,0.22612244897959183
