method,scenario,split_id,alpha,selected_margin,calibration_risk_stat,test_false_safe_rate_given_unsafe,test_false_safe_rate_among_accepted,test_accepted_coverage
cp_bonferroni_upper95,exchangeable_retained_rc_wall,16,0.01,0.5,0.009510105661007613,0.0035248501938667607,0.0022396416573348264,0.4261309410192785
cp_bonferroni_upper95,exchangeable_retained_rc_wall,17,0.01,0.5,0.008789303072218773,0.004136504653567736,0.002749770852428964,0.41649169688871923
cp_bonferroni_upper95,exchangeable_retained_rc_wall,18,0.01,0.5,0.008634440315636888,0.004209049456331112,0.0026708212775428445,0.4288032067188395
cp_bonferroni_upper95,exchangeable_retained_rc_wall,19,0.01,0.5,0.009434027077908923,0.0035536602700781805,0.0022603978300180833,0.42221798053063564
cp_bonferroni_upper95,exchangeable_retained_rc_wall,20,0.01,0.5,0.008887760318321444,0.003951149425287357,0.002450434395188238,0.42842145447604507
cp_bonferroni_upper95,exchangeable_retained_rc_wall,21,0.01,0.5,0.00863748407159116,0.004207573632538569,0.0026929982046678637,0.425271998472991
cp_bonferroni_upper95,exchangeable_retained_rc_wall,22,0.01,0.5,0.006240723293785874,0.005967005967005967,0.0038236617183985606,0.42431761786600497
cp_bonferroni_upper95,exchangeable_retained_rc_wall,23,0.01,0.5,0.009120084689725992,0.003848845346396081,0.002464709836432893,0.4259400648978813
cp_bonferroni_upper95,exchangeable_retained_rc_wall,24,0.01,0.5,0.0073030915661835985,0.005201109570041609,0.0033952014486192846,0.421645352166444
cp_bonferroni_upper95,exchangeable_retained_rc_wall,25,0.01,0.5,0.008767288709740908,0.00414651002073255,0.0027247956403269754,0.4203092193166635
cp_bonferroni_upper95,exchangeable_retained_rc_wall,26,0.01,0.5,0.009398070311078756,0.0035676061362825543,0.0021968365553602814,0.43443405230005727
cp_bonferroni_upper95,exchangeable_retained_rc_wall,27,0.01,0.75,0.0017071392296979218,0.0,0.0,0.1964115289177324
cp_bonferroni_upper95,exchangeable_retained_rc_wall,28,0.01,0.5,0.006756513481751016,0.005594405594405594,0.0035802192884314163,0.4265126932620729
cp_bonferroni_upper95,exchangeable_retained_rc_wall,29,0.01,0.75,0.0016760611620920225,0.0,0.0,0.2022332506203474
cp_bonferroni_upper95,exchangeable_retained_rc_wall,30,0.01,0.5,0.007112857679959668,0.00533997864008544,0.0033193184332816995,0.4312845962970032
cp_bonferroni_upper95,exchangeable_retained_rc_wall,31,0.01,0.5,0.00964538042132859,0.003475842891901286,0.0022522522522522522,0.42374498950181333
cp_bonferroni_upper95,exchangeable_retained_rc_wall,32,0.01,0.5,0.009693640312758439,0.0034590107229332413,0.0022603978300180833,0.42221798053063564
cp_bonferroni_upper95,exchangeable_retained_rc_wall,33,0.01,0.5,0.007730683178719426,0.004888268156424581,0.003201463526183398,0.41735063943500667
cp_bonferroni_upper95,exchangeable_retained_rc_wall,34,0.01,0.5,0.007147612008403327,0.005313496280552604,0.003386004514672686,0.4227906088948273
cp_bonferroni_upper95,exchangeable_retained_rc_wall,35,0.01,0.5,0.008196045867237765,0.004543865781195386,0.0028761061946902654,0.43138003435770184
cp_bonferroni_upper95,exchangeable_retained_rc_wall,36,0.01,0.5,0.009655681331269084,0.003472222222222222,0.0022680880018144706,0.4207864096201565
cp_bonferroni_upper95,exchangeable_retained_rc_wall,37,0.01,0.75,0.0016908600607649857,0.0,0.0,0.1952662721893491
cp_bonferroni_upper95,exchangeable_retained_rc_wall,38,0.01,0.5,0.009860213530196872,0.003206270039187745,0.002007136485280999,0.427944264172552
cp_bonferroni_upper95,exchangeable_retained_rc_wall,39,0.01,0.5,0.008129916402854766,0.0045806906272022555,0.0029193801931282283,0.4249856842908952
cp_bonferroni_upper95,exchangeable_retained_rc_wall,40,0.01,0.75,0.0016443982095804114,0.0,0.0,0.20624164916968887
cp_bonferroni_upper95,exchangeable_retained_rc_wall,41,0.01,0.5,0.005802301398048889,0.006254343293954135,0.004025944978751957,0.42670356938347015
cp_bonferroni_upper95,exchangeable_retained_rc_wall,42,0.01,0.5,0.008625321905175466,0.004213483146067416,0.0027112516945323093,0.4224088566520328
cp_bonferroni_upper95,exchangeable_retained_rc_wall,43,0.01,0.5,0.007660168391412264,0.004933051444679351,0.0030803080308030805,0.433765985875167
cp_bonferroni_upper95,exchangeable_retained_rc_wall,44,0.01,0.5,0.008698813033950578,0.004178272980501393,0.0026984483921744995,0.4244130559267036
cp_bonferroni_upper95,exchangeable_retained_rc_wall,45,0.01,0.5,0.007218149602030444,0.00526131182041389,0.0033685156074556477,0.4249856842908952
cp_bonferroni_upper95,exchangeable_retained_rc_wall,46,0.01,0.5,0.005708835892868724,0.006355932203389831,0.003990246065174019,0.4305210918114144
